,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
86,2053-05-01,Coverage_OUT_CA_LADWP[Percent],-16.0,58.0,-9.0
87,2057-05-01,Coverage_OUT_CA_LADWP[Percent],-3.0,2218.0,-12.0
88,2057-06-01,Coverage_OUT_CA_LADWP[Percent],-3.0,2282.0,-15.0
89,2058-05-01,Coverage_OUT_CA_LADWP[Percent],-26.0,1509.0,-41.0
90,2058-06-01,Coverage_OUT_CA_LADWP[Percent],-16.0,1374.0,-57.0
91,2059-05-01,Coverage_OUT_CA_LADWP[Percent],-2.0,252.0,-59.0
92,2060-05-01,Coverage_OUT_CA_LADWP[Percent],-8.0,-331.0,-67.0
93,2064-05-01,Coverage_OUT_CA_LADWP[Percent],-24.0,-35.0,-91.0
94,2064-06-01,Coverage_OUT_CA_LADWP[Percent],-8.0,-210.0,-99.0
95,2065-04-01,Coverage_OUT_CA_LADWP[Percent],-26.0,-967.0,-125.0
96,2065-05-01,Coverage_OUT_CA_LADWP[Percent],-16.0,-968.0,-141.0
97,2065-06-01,Coverage_OUT_CA_LADWP[Percent],-28.0,-862.0,-169.0
98,2065-10-01,Coverage_OUT_CA_LADWP[Percent],-27.0,-1518.0,-196.0
99,2065-11-01,Coverage_OUT_CA_LADWP[Percent],-27.0,-1498.0,-223.0
100,2066-05-01,Coverage_OUT_CA_LADWP[Percent],26.0,-1045.0,-197.0
101,2066-06-01,Coverage_OUT_CA_LADWP[Percent],13.0,-627.0,-184.0
102,2066-12-01,Coverage_OUT_CA_LADWP[Percent],-8.0,1085.0,-192.0
103,2067-04-01,Coverage_OUT_CA_LADWP[Percent],19.0,1313.0,-173.0
104,2067-05-01,Coverage_OUT_CA_LADWP[Percent],26.0,1553.0,-147.0
105,2067-06-01,Coverage_OUT_CA_LADWP[Percent],32.0,1908.0,-115.0
106,2067-10-01,Coverage_OUT_CA_LADWP[Percent],15.0,2711.0,-100.0
107,2068-12-01,Coverage_OUT_CA_LADWP[Percent],12.0,3258.0,-88.0
108,2069-05-01,Coverage_OUT_CA_LADWP[Percent],-10.0,3212.0,-98.0
109,2070-05-01,Coverage_OUT_CA_LADWP[Percent],28.0,2663.0,-70.0
110,2070-06-01,Coverage_OUT_CA_LADWP[Percent],15.0,2849.0,-55.0
111,2011-09-01,Coverage_OUT_CA_PGE_BAY[Percent],5.0,-111.0,5.0
112,2011-10-01,Coverage_OUT_CA_PGE_BAY[Percent],17.0,-158.0,22.0
113,2012-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-10.0,-463.0,12.0
114,2012-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-18.0,-531.0,-6.0
115,2013-04-01,Coverage_OUT_CA_PGE_BAY[Percent],-16.0,-759.0,-22.0
116,2013-05-01,Coverage_OUT_CA_PGE_BAY[Percent],-39.0,-833.0,-61.0
117,2013-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-24.0,-1048.0,-85.0
118,2013-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-42.0,-1099.0,-127.0
119,2013-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-33.0,-1170.0,-160.0
120,2013-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-14.0,-1082.0,-174.0
121,2013-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-20.0,-1081.0,-194.0
122,2013-12-01,Coverage_OUT_CA_PGE_BAY[Percent],-12.0,-1107.0,-206.0
123,2014-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-18.0,-943.0,-224.0
124,2014-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-1.0,-943.0,-225.0
125,2014-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-4.0,-950.0,-229.0
126,2014-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-7.0,-900.0,-236.0
127,2016-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-16.0,-808.0,-252.0
